n,score,k,angle_0,angle_1,dir_1,angle_2,dir_2
45,0.44905852573117744,3,100.0,140.0,100.0,180.0,120.0
46,0.4415942923700869,2,0.0,180.0,110.0,,
47,0.4321986691281702,2,0.0,180.0,110.0,,
48,0.42319453018799996,2,0.0,180.0,110.0,,
49,0.4442963783032932,2,105.0,75.0,40.0,,
50,0.43541045073722734,2,105.0,75.0,40.0,,
51,0.48286210609127433,2,5.0,170.0,70.0,,
52,0.4735762963587498,2,5.0,170.0,70.0,,
53,0.4646408945406602,2,5.0,170.0,70.0,,
54,0.456036433530648,2,5.0,170.0,70.0,,
55,0.44261849340670234,2,112.55380049216791,67.98094822783895,152.13044796243736,,
56,0.4347145917387255,2,112.55380049216791,67.98094822783895,152.13044796243736,,
57,0.429112525112289,2,111.5576687426524,66.58046080303518,27.30233742155232,,
58,0.4217140333000082,2,111.5576687426524,66.58046080303518,27.30233742155232,,
59,0.414566337820347,2,111.5576687426524,66.58046080303518,27.30233742155232,,
60,0.40765689885667455,2,111.5576687426524,66.58046080303518,27.30233742155232,,
61,0.4765426647037539,2,0.0,180.0,115.0,,
62,0.46885649269240304,2,0.0,180.0,115.0,,
63,0.46141432614172995,2,0.0,180.0,115.0,,
64,0.4462987179320264,2,10.880455088193727,172.77801486253753,74.98239410927087,,
65,0.447216962260446,2,0.0,180.0,115.0,,
66,0.44044094768074227,2,0.0,180.0,115.0,,
67,0.43386720219297,2,0.0,180.0,115.0,,
68,0.42748680216072044,2,0.0,180.0,115.0,,
69,0.4212913412598404,2,0.0,180.0,115.0,,
70,0.415272893527557,2,0.0,180.0,115.0,,
71,0.4251489737747133,2,105.0,75.0,40.0,,
72,0.41924412691673113,2,105.0,75.0,40.0,,
73,0.436936424742708,3,0.0,40.0,0.0,80.0,40.0
74,0.4310318784624011,3,0.0,40.0,0.0,80.0,40.0
75,0.4252847867495691,3,0.0,40.0,0.0,80.0,40.0
76,0.43690053363620124,2,3.6868180920789073,176.9674742800903,109.65020205405932,,
77,0.431226500731835,2,3.6868180920789073,176.9674742800903,109.65020205405932,,
78,0.4256979558506576,2,3.6868180920789073,176.9674742800903,109.65020205405932,,
79,0.42030937413102903,2,3.6868180920789073,176.9674742800903,109.65020205405932,,
80,0.4150555069543912,2,3.6868180920789073,176.9674742800903,109.65020205405932,,
81,0.41382906062057734,2,111.13665823697647,66.25246152725978,28.29505512518118,,
82,0.40878236475935076,2,111.13665823697647,66.25246152725978,28.29505512518118,,
83,0.4038572760273104,2,111.13665823697647,66.25246152725978,28.29505512518118,,
84,0.3990494513126996,2,111.13665823697647,66.25246152725978,28.29505512518118,,
85,0.43924584505702974,2,5.747785980694039,172.75470999331364,107.79403147883298,,
86,0.4341383352307852,2,5.747785980694039,172.75470999331364,107.79403147883298,,
87,0.4291482394235348,2,5.747785980694039,172.75470999331364,107.79403147883298,,
88,0.424271554884631,2,5.747785980694039,172.75470999331364,107.79403147883298,,
89,0.4195044587623318,2,5.747785980694039,172.75470999331364,107.79403147883298,,
90,0.41484329810941695,2,5.747785980694039,172.75470999331364,107.79403147883298,,
91,0.41889233083104394,2,0.0,180.0,115.0,,
92,0.4143391533220109,2,0.0,180.0,115.0,,
93,0.40988389360887095,2,0.0,180.0,115.0,,
94,0.4055234266555851,2,0.0,180.0,115.0,,
95,0.4012547590065789,2,0.0,180.0,115.0,,
96,0.39707502193359373,2,0.0,180.0,115.0,,
97,0.41208885084915875,2,105.0,75.0,40.0,,
98,0.40788386257518777,2,105.0,75.0,40.0,,
99,0.4409499788751615,2,0.0,180.0,110.0,,
100,0.4365404790864099,2,0.0,180.0,110.0,,
101,0.43221829612515833,2,0.0,180.0,110.0,,
102,0.42798086184942147,2,0.0,180.0,110.0,,
103,0.4238257078508834,2,0.0,180.0,110.0,,
104,0.41975046066000954,2,0.0,180.0,110.0,,
105,0.41575283722515227,2,0.0,180.0,110.0,,
106,0.41183064064755653,2,0.0,180.0,110.0,,
107,0.4079817561555233,2,0.0,180.0,110.0,,
108,0.40420414730223136,2,0.0,180.0,110.0,,
109,0.40191538385248177,2,113.53577458531555,66.06131112193808,152.0846212338804,,
110,0.398261607635641,2,113.53577458531555,66.06131112193808,152.0846212338804,,
111,0.39467366522450914,2,113.53577458531555,66.06131112193808,152.0846212338804,,
112,0.391149793213576,2,113.53577458531555,66.06131112193808,152.0846212338804,,
113,0.42907548627070213,2,4.217571004349102,176.3204062843359,109.26319763825371,,
114,0.42531166621569594,2,4.217571004349102,176.3204062843359,109.26319763825371,,
115,0.42161330390077684,2,4.217571004349102,176.3204062843359,109.26319763825371,,
116,0.4179787064533564,2,4.217571004349102,176.3204062843359,109.26319763825371,,
117,0.414406238876832,2,4.217571004349102,176.3204062843359,109.26319763825371,,
118,0.4108943215982147,2,4.217571004349102,176.3204062843359,109.26319763825371,,
119,0.4074414281394062,2,4.217571004349102,176.3204062843359,109.26319763825371,,
120,0.4040460829049112,2,4.217571004349102,176.3204062843359,109.26319763825371,,
121,0.4243056252247167,2,105.0,75.0,40.0,,
122,0.4208277102638584,2,105.0,75.0,40.0,,
123,0.41740634676577826,2,105.0,75.0,40.0,,
124,0.4140401665499252,2,105.0,75.0,40.0,,
125,0.41072784521752576,2,105.0,75.0,40.0,,
126,0.4074681004142121,2,105.0,75.0,40.0,,
127,0.4042596901747301,2,105.0,75.0,40.0,,
128,0.40110141134524,2,105.0,75.0,40.0,,
129,0.41584630617130464,2,0.16150763170814972,179.655576129017,67.23523880333478,,
130,0.4126474884315254,2,0.16150763170814972,179.655576129017,67.23523880333478,,
131,0.40949750760380377,2,0.16150763170814972,179.655576129017,67.23523880333478,,
132,0.4063952537583204,2,0.16150763170814972,179.655576129017,67.23523880333478,,
133,0.4204039947783002,2,110.46897398037123,69.68967626276252,27.891934888571516,,
134,0.41726665153368603,2,110.46897398037123,69.68967626276252,27.891934888571516,,
135,0.4141757874482513,2,110.46897398037123,69.68967626276252,27.891934888571516,,
136,0.4111303772464259,2,110.46897398037123,69.68967626276252,27.891934888571516,,
137,0.4081294255876929,2,110.46897398037123,69.68967626276252,27.891934888571516,,
138,0.40517196598198496,2,110.46897398037123,69.68967626276252,27.891934888571516,,
139,0.40225705975189874,2,110.46897398037123,69.68967626276252,27.891934888571516,,
140,0.3993837950393852,2,110.46897398037123,69.68967626276252,27.891934888571516,,
141,0.4004508855614894,2,110.0,70.0,150.0,,
142,0.39763080890260566,2,110.0,70.0,150.0,,
143,0.39485017387531474,2,110.0,70.0,150.0,,
144,0.3921081587789584,2,110.0,70.0,150.0,,
145,0.4193282724612843,3,0.0,40.0,0.0,80.0,40.0
146,0.41645616100607,3,0.0,40.0,0.0,80.0,40.0
147,0.4136231258971852,3,0.0,40.0,0.0,80.0,40.0
148,0.4319688774819605,2,7.143350241162587,179.91546316064267,70.5763089878118,,
149,0.4290697574988601,2,7.143350241162587,179.91546316064267,70.5763089878118,,
150,0.42620929244886774,2,7.143350241162587,179.91546316064267,70.5763089878118,,
151,0.42338671435317987,2,7.143350241162587,179.91546316064267,70.5763089878118,,
152,0.42060127544296155,2,7.143350241162587,179.91546316064267,70.5763089878118,,
153,0.41785224749888994,2,7.143350241162587,179.91546316064267,70.5763089878118,,
